metrica,valor,throughput_bps,latencia_query_ms,estado
delay,0.0,615796.19,15.34,ok
delay,200.0,11614.46,814.15,ok
delay,800.0,2939.72,3213.9,ok
delay,1600.0,1638.97,6413.79,ok
delay,2400.0,1100.89,9614.04,ok
delay,3000.0,917.47,10000.0,fallo
delay,4000.0,391.5,10000.0,fallo
delay,5000.0,229.71,10000.0,fallo
